_id,BUSINESS_TYPE_ID,BUSINESS_TYPE_DESC,FUEL_DISTRIBUTION_COMPANY_ID,FUEL_DISTRIBUTION_COMPANY_DESC,LPG_DISTRIBUTION_COMPANY_ID,LPG_DISTRIBUTION_COMPANY_DESC,FACILITY_TYPE_ID,FACILITY_TYPE_DESC,COUNTY_UAVT_CODE,COUNTY_NAME,NEIGHBORHOOD_UAVT_CODE,NEIGHBORHOOD_NAME,LATITUDE,LONGTITUDE
384,2,Akaryakıt Lpg,15,Total,42,Totalgaz,1,Aktif,1782,BÜYÜKÇEKMECE,40883,GÜZELCE,41.00956266,28.52334775
385,1,Akaryakıt,13,Shell-Turcas Petrol,14,Bp Gaz,1,Aktif,2048,ARNAVUTKÖY,40483,BOĞAZKÖY İSTİKLAL,41.13664862,28.811227
386,1,Akaryakıt,20,Full,-99,Bilinmiyor,1,Aktif,2054,SANCAKTEPE,40624,BÜYÜKBAKKALKÖY,40.98163881,29.22145731
387,1,Akaryakıt,12,Petrol Ofisi,-99,Bilinmiyor,1,Aktif,2015,TUZLA,40728,ORHANLI,40.8939344,29.35516815
388,2,Akaryakıt Lpg,12,Petrol Ofisi,47,Pogaz,1,Aktif,1622,SİLİVRİ,40931,SANCAKTEPE,41.07112997,28.11282106
389,1,Akaryakıt,12,Petrol Ofisi,-99,Bilinmiyor,1,Aktif,1622,SİLİVRİ,40923,MİMAR SİNAN,41.07994225,28.20693349
390,1,Akaryakıt,13,Shell-Turcas Petrol,-99,Bilinmiyor,1,Aktif,2053,ESENYURT,181508,SULTANİYE,41.03210179,28.68206942
391,1,Akaryakıt,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,1823,KÜÇÜKÇEKMECE,40582,ATAKENT,41.04444737,28.78202783
392,2,Akaryakıt Lpg,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,2016,ESENLER,40351,TUNA,41.05223539,28.85814548
393,2,Akaryakıt Lpg,-99,Bilinmiyor,-99,Bilinmiyor,1,Aktif,1886,BAYRAMPAŞA,40213,MURATPAŞA,41.05105998,28.90763786
394,2,Akaryakıt Lpg,24,Bpet,25,İpragaz,1,Aktif,1835,PENDİK,40629,FEVZİ ÇAKMAK,40.880055,29.25938796
395,2,Akaryakıt Lpg,10,Opet,33,Opet,1,Aktif,2015,TUZLA,40728,ORHANLI,40.9077861,29.34327854
396,2,Akaryakıt Lpg,15,Total,42,Totalgaz,1,Aktif,2014,SULTANBEYLİ,40949,ABDURRAHMANGAZİ,40.96939307,29.25715278
397,2,Akaryakıt Lpg,5,BP,14,Bp Gaz,1,Aktif,1835,PENDİK,40648,YEŞİLBAĞLAR,40.89684752,29.22487999
398,1,Akaryakıt,12,Petrol Ofisi,-99,Bilinmiyor,1,Aktif,1237,ÇATALCA,40901,OVAYENİCE,41.10456986,28.42483278
399,2,Akaryakıt Lpg,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,2048,ARNAVUTKÖY,40906,ÖMERLİ,41.11736787,28.62845275
400,2,Akaryakıt Lpg,5,BP,14,Bp Gaz,1,Aktif,1237,ÇATALCA,40897,FERHATPAŞA,41.13514557,28.4656453
401,1,Akaryakıt,5,BP,-99,Bilinmiyor,1,Aktif,1810,KAĞITHANE,40535,ÇAĞLAYAN,41.07165321,28.97989356
402,2,Akaryakıt Lpg,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,1835,PENDİK,40653,YENİŞEHİR,40.93937772,29.31722879
403,1,Akaryakıt,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,2015,TUZLA,40720,AYDINLI,40.87124126,29.33149329
404,2,Akaryakıt Lpg,5,BP,14,Bp Gaz,1,Aktif,2053,ESENYURT,40866,YEŞİLKENT,41.03065998,28.66262247
405,2,Akaryakıt Lpg,23,Moil,28,Milangaz,1,Aktif,2015,TUZLA,40726,TEPEÖREN,40.90348792,29.3945814
406,2,Akaryakıt Lpg,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,2054,SANCAKTEPE,40759,EMEK,41.00713878,29.19026753
407,2,Akaryakıt Lpg,3,Aytemiz,11,Aytemiz,1,Aktif,2048,ARNAVUTKÖY,40478,ARNAVUTKÖY MERKEZ,41.18141575,28.74475651
408,2,Akaryakıt Lpg,12,Petrol Ofisi,47,Pogaz,1,Aktif,1852,ÜMRANİYE,40748,ATAKENT,41.0132846,29.1071528
409,2,Akaryakıt Lpg,12,Petrol Ofisi,47,Pogaz,1,Aktif,1659,ŞİLE,40961,AĞVA MERKEZ,41.12918897,29.85330148
410,1,Akaryakıt,5,BP,-99,Bilinmiyor,1,Aktif,1739,ZEYTİNBURNU,40840,KAZLIÇEŞME,40.99128692,28.91961874
411,2,Akaryakıt Lpg,-99,Bilinmiyor,-99,Bilinmiyor,1,Aktif,2051,BEYLİKDÜZÜ,40869,ADNAN KAHVECİ,40.99338983,28.63037763
412,1,Akaryakıt,5,BP,-99,Bilinmiyor,1,Aktif,1852,ÜMRANİYE,98699,NECİP FAZIL,41.01818585,29.17163602
413,2,Akaryakıt Lpg,12,Petrol Ofisi,47,Pogaz,1,Aktif,1622,SİLİVRİ,40938,ORTAKÖY,41.08346835,28.36836091
414,1,Akaryakıt,7,Enerji Petrol,-99,Bilinmiyor,1,Aktif,1237,ÇATALCA,191785,ÇANAKÇA,41.25125326,28.4923899
415,2,Akaryakıt Lpg,15,Total,42,Totalgaz,1,Aktif,1739,ZEYTİNBURNU,40841,SEYİTNİZAM,41.00979678,28.907605
416,2,Akaryakıt Lpg,13,Shell-Turcas Petrol,10,Aygaz,1,Aktif,1835,PENDİK,40652,YENİ,40.88107458,29.232362
417,1,Akaryakıt,-99,Bilinmiyor,-99,Bilinmiyor,1,Aktif,2051,BEYLİKDÜZÜ,40893,MARMARA,40.96124162,28.65597255
418,1,Akaryakıt,10,Opet,33,Opet,1,Aktif,1835,PENDİK,,,40.90931038,29.29501351
419,2,Akaryakıt Lpg,12,Petrol Ofisi,47,Pogaz,1,Aktif,1708,ÜSKÜDAR,40786,BARBAROS,41.00695521,29.02525145
420,2,Akaryakıt Lpg,10,Opet,10,Aygaz,1,Aktif,2015,TUZLA,,,40.9171911,29.35437229
421,2,Akaryakıt Lpg,-99,Bilinmiyor,-99,Bilinmiyor,1,Aktif,2004,BAĞCILAR,40170,MAHMUTBEY,41.04958293,28.82047125
422,2,Akaryakıt Lpg,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,2050,BAŞAKŞEHİR,40583,KAYABAŞI,,
423,2,Akaryakıt Lpg,10,Opet,-99,Bilinmiyor,1,Aktif,2015,TUZLA,,,,
424,1,Akaryakıt,-99,Bilinmiyor,-99,Bilinmiyor,1,Aktif,2050,BAŞAKŞEHİR,40583,KAYABAŞI,,
425,2,Akaryakıt Lpg,-99,Bilinmiyor,-99,Bilinmiyor,1,Aktif,2050,BAŞAKŞEHİR,,,,
